channel_login,count,message_count,target_ratio
dima_wallhacks,2684,596301,0.00450108250698892
sauliuslol,126,43013,0.0029293469416223003
hushxv,7,2406,0.0029093931837073984
eimantele,1,460,0.002173913043478261
hellderis,337,166510,0.002023902468320221
lturepublic,92,80027,0.0011496120059479925
qkiira__,7,6981,0.0010027216731127346
ruzl4,1,1007,0.0009930486593843098
gedastm,1,1106,0.0009041591320072332
dariuscxz,11,15015,0.0007326007326007326
pauldemiko,39,55104,0.0007077526132404182
lyncaslol,1,1796,0.0005567928730512249
bymas,8,15315,0.0005223636957231473
movementless,4,7776,0.00051440329218107
locomotyvas,99,200062,0.000494846597554758
knok1zygis,24,67885,0.0003535390734330117
thexanos,23,67457,0.00034095794357887245
sponsorius,21,71062,0.00029551659114576006
godutee7,2,6843,0.00029226947245360223
forzetukas,1,3626,0.0002757859900717044
kerrakatt,8,29713,0.000269242419143136
pacesukas,1,3799,0.00026322716504343247
cestovas,3,11838,0.00025342118601115053
k1xe,1,4274,0.0002339728591483388
elthebird,9,41111,0.00021891951059327188
thelazyscorpion,1,4870,0.0002053388090349076
razavox,5,25724,0.00019437101539418442
domasas_,1,5945,0.0001682085786375105
vieversys97,8,50392,0.00015875535799333228
gabriri_,1,6768,0.00014775413711583924
taifunass,1,8077,0.0001238083446824316
austejasubm,1,8172,0.00012236906510034264
stada77,1,8267,0.00012096286440062901
theleoncj,2,24587,8.134379956887786e-05
magilacs,1,13484,7.416196974191635e-05
gambler91,2,29680,6.738544474393532e-05
etasofija,2,33185,6.026819346090101e-05
gam3derp,1,20995,4.763038818766373e-05
pmplt,1,39532,2.5295962764342812e-05
